Time [s],Channel 0
2.016414333,0
2.016422875,1
2.016431417,0
2.016448542,1
2.016457083,0
2.016465667,1
2.016482792,0
2.016491333,1
2.016499875,0
2.016508458,1
2.016525542,0
2.016542667,1
2.016568333,0
2.016576917,1
2.016585458,0
2.016619667,1
2.016628250,0
2.016636792,1
2.016653917,0
2.016662458,1
2.016671042,0
2.016722375,1
2.016730917,0
2.016748042,1
2.016756583,0
2.016765167,1
2.016773708,0
2.016807958,1
2.016825042,0
2.016833625,1
2.016842167,0
2.016859292,1
2.016867833,0
2.016884958,1
2.016910625,0
2.016919167,1
2.016927750,0
2.016944875,1
2.016953417,0
2.016970542,1
2.016996208,0
2.017004750,1
2.017013333,0
2.017021875,1
2.017030417,0
2.017039000,1
2.017047542,0
2.017056083,1
2.017081792,0
2.017090333,1
2.017098875,0
2.017107458,1
2.017124542,0
2.017141667,1
2.017167333,0
2.017175917,1
2.017184458,0
2.017227250,1
2.017252917,0
2.017261458,1
2.017270042,0
2.017278583,1
2.017287167,0
2.017295708,1
2.017304250,0
2.017312833,1
2.017338500,0
2.017347042,1
2.017355625,0
2.017364167,1
2.017381292,0
2.017406958,1
2.017424083,0
2.017432625,1
2.017441167,0
2.017475417,1
2.017483958,0
2.017492500,1
2.017509625,0
2.017518208,1
2.017526750,0
2.017535292,1
2.017543875,0
2.017552417,1
2.017561000,0
2.017569542,1
2.017595208,0
2.017603750,1
2.017612333,0
2.017620875,1
2.017638000,0
2.017663667,1
2.017680792,0
2.017689333,1
2.017697875,0
2.017732125,1
2.017740667,0
2.017749250,1
2.017766333,0
2.017774917,1
2.017783458,0
2.017792000,1
2.017800583,0
2.017809125,1
2.017817708,0
2.017826250,1
2.017851917,0
2.017860458,1
2.017869042,0
2.017877583,1
2.017886167,0
2.017894708,1
2.017911833,0
2.017946042,1
2.017954625,0
2.017971708,1
2.017980292,0
2.017988833,1
2.017997417,0
2.018031625,1
2.519605250,0
2.519630917,1
2.519639458,0
2.519648042,1
2.519656583,0
2.519665125,1
2.519673708,0
2.519682250,1
2.519690792,0
2.519699375,1
2.519707917,0
2.519716500,1
2.519725042,0
2.519733583,1
2.519759250,0
2.519767833,1
2.519776375,0
2.519793500,1
2.519802042,0
2.519819167,1
2.519844833,0
2.519853375,1
2.519861958,0
2.519870500,1
2.519887625,0
2.519896167,1
2.519904750,0
2.519913292,1
2.519930417,0
2.519938958,1
2.519947542,0
2.519956083,1
2.519964625,0
2.519981750,1
2.519990333,0
2.519998875,1
2.520016000,0
2.520024542,1
2.520033083,0
2.520041667,1
2.520058792,0
2.520075875,1
2.520101542,0
2.520110125,1
2.520118667,0
2.520152917,1
2.520161458,0
2.520170000,1
2.520187125,0
2.520195667,1
2.520204250,0
2.520255583,1
2.520264125,0
2.520281250,1
2.520289833,0
2.520298375,1
2.520306917,0
2.520341167,1
2.520358292,0
2.520366833,1
2.520375375,0
2.520392500,1
2.520401042,0
2.520418167,1
2.520443833,0
2.520452417,1
2.520460958,0
2.520478083,1
2.520486625,0
2.520503750,1
2.520529417,0
2.520537958,1
2.520546542,0
2.520555083,1
2.520563625,0
2.520572208,1
2.520580750,0
2.520589333,1
2.520615000,0
2.520623542,1
2.520632083,0
2.520640667,1
2.520657792,0
2.520674875,1
2.520700542,0
2.520709125,1
2.520717667,0
2.520760458,1
2.520786125,0
2.520794667,1
2.520803250,0
2.520811792,1
2.520820375,0
2.520828917,1
2.520837458,0
2.520846042,1
2.520871708,0
2.520880250,1
2.520888833,0
2.520897375,1
2.520914500,0
2.520940167,1
2.520957292,0
2.520965833,1
2.520974375,0
2.521008625,1
2.521017167,0
2.521025750,1
2.521042833,0
2.521051417,1
2.521059958,0
2.521068500,1
2.521077083,0
2.521085625,1
2.521094208,0
2.521102750,1
2.521128417,0
2.521136958,1
2.521145542,0
2.521154083,1
2.521171208,0
2.521196875,1
2.521214000,0
2.521222542,1
2.521231125,0
2.521265333,1
2.521273875,0
2.521282458,1
2.521299583,0
2.521308125,1
2.521316667,0
2.521325250,1
2.521333792,0
2.521342333,1
2.521350917,0
2.521359458,1
2.521385125,0
2.521393708,1
2.521402250,0
2.521410792,1
2.521419375,0
2.521427917,1
2.521445042,0
2.521479250,1
2.521487833,0
2.521504917,1
2.521513500,0
2.521522042,1
2.521530625,0
2.521564833,1
3.023139542,0
3.023165208,1
3.023173750,0
3.023182292,1
3.023190875,0
3.023199417,1
3.023208000,0
3.023216542,1
3.023225083,0
3.023233667,1
3.023242208,0
3.023250750,1
3.023259333,0
3.023267875,1
3.023293542,0
3.023302125,1
3.023310667,0
3.023327792,1
3.023336333,0
3.023353458,1
3.023379125,0
3.023387667,1
3.023396250,0
3.023404792,1
3.023421917,0
3.023430458,1
3.023439042,0
3.023447583,1
3.023464708,0
3.023473250,1
3.023481833,0
3.023490375,1
3.023498917,0
3.023516042,1
3.023524583,0
3.023533167,1
3.023550292,0
3.023558833,1
3.023567375,0
3.023575958,1
3.023593042,0
3.023610167,1
3.023635833,0
3.023644417,1
3.023652958,0
3.023687167,1
3.023695750,0
3.023704292,1
3.023721417,0
3.023729958,1
3.023738542,0
3.023789875,1
3.023798417,0
3.023815542,1
3.023824125,0
3.023832667,1
3.023841208,0
3.023875458,1
3.023892583,0
3.023901125,1
3.023909667,0
3.023926792,1
3.023935333,0
3.023952458,1
3.023978125,0
3.023986708,1
3.023995250,0
3.024012375,1
3.024020917,0
3.024038042,1
3.024063708,0
3.024072250,1
3.024080833,0
3.024089375,1
3.024097917,0
3.024106500,1
3.024115042,0
3.024123583,1
3.024149292,0
3.024157833,1
3.024166375,0
3.024174958,1
3.024192083,0
3.024209167,1
3.024234833,0
3.024243417,1
3.024251958,0
3.024294750,1
3.024320417,0
3.024328958,1
3.024337542,0
3.024346083,1
3.024354667,0
3.024363208,1
3.024371750,0
3.024380333,1
3.024406000,0
3.024414542,1
3.024423125,0
3.024431667,1
3.024448792,0
3.024474458,1
3.024491583,0
3.024500125,1
3.024508667,0
3.024542917,1
3.024551458,0
3.024560000,1
3.024577125,0
3.024585708,1
3.024594250,0
3.024602792,1
3.024611375,0
3.024619917,1
3.024628500,0
3.024637042,1
3.024662708,0
3.024671250,1
3.024679833,0
3.024688375,1
3.024705500,0
3.024731167,1
3.024748292,0
3.024756833,1
3.024765417,0
3.024799625,1
3.024808167,0
3.024816750,1
3.024833875,0
3.024842417,1
3.024850958,0
3.024859542,1
3.024868083,0
3.024876625,1
3.024885208,0
3.024893750,1
3.024919417,0
3.024928000,1
3.024936542,0
3.024945083,1
3.024953667,0
3.024962208,1
3.024979333,0
3.025013542,1
3.025022125,0
3.025039208,1
3.025047792,0
3.025056333,1
3.025064917,0
3.025099125,1
3.526674875,0
3.526700542,1
3.526709083,0
3.526717667,1
3.526726208,0
3.526734750,1
3.526743333,0
3.526751875,1
3.526760458,0
3.526769000,1
3.526777542,0
3.526786125,1
3.526794667,0
3.526803208,1
3.526828875,0
3.526837458,1
3.526846000,0
3.526863125,1
3.526871667,0
3.526888792,1
3.526914458,0
3.526923000,1
3.526931583,0
3.526940125,1
3.526957250,0
3.526965792,1
3.526974375,0
3.526982917,1
3.527000042,0
3.527008583,1
3.527017167,0
3.527025708,1
3.527034250,0
3.527051375,1
3.527059958,0
3.527068500,1
3.527085625,0
3.527094167,1
3.527102708,0
3.527111292,1
3.527128417,0
3.527145500,1
3.527171167,0
3.527179750,1
3.527188292,0
3.527222542,1
3.527231083,0
3.527239625,1
3.527256750,0
3.527265292,1
3.527273875,0
3.527325208,1
3.527333750,0
3.527350875,1
3.527359458,0
3.527368000,1
3.527376542,0
3.527410792,1
3.527427917,0
3.527436458,1
3.527445000,0
3.527462125,1
3.527470667,0
3.527487792,1
3.527513458,0
3.527522042,1
3.527530583,0
3.527547708,1
3.527556250,0
3.527573375,1
3.527599042,0
3.527607583,1
3.527616167,0
3.527624708,1
3.527633292,0
3.527641833,1
3.527650375,0
3.527658958,1
3.527684625,0
3.527693167,1
3.527701708,0
3.527710292,1
3.527727417,0
3.527744500,1
3.527770167,0
3.527778750,1
3.527787292,0
3.527830083,1
3.527855750,0
3.527864292,1
3.527872875,0
3.527881417,1
3.527890000,0
3.527898542,1
3.527907083,0
3.527915667,1
3.527941333,0
3.527949875,1
3.527958458,0
3.527967000,1
3.527984125,0
3.528009792,1
3.528026917,0
3.528035458,1
3.528044000,0
3.528078250,1
3.528086792,0
3.528095375,1
3.528112458,0
3.528121042,1
3.528129583,0
3.528138125,1
3.528146708,0
3.528155250,1
3.528163833,0
3.528172375,1
3.528198042,0
3.528206583,1
3.528215167,0
3.528223708,1
3.528240833,0
3.528266500,1
3.528283625,0
3.528292167,1
3.528300750,0
3.528334958,1
3.528343500,0
3.528352083,1
3.528369208,0
3.528377750,1
3.528386292,0
3.528394875,1
3.528403417,0
3.528411958,1
3.528420542,0
3.528429083,1
3.528454750,0
3.528463333,1
3.528471875,0
3.528480417,1
3.528489000,0
3.528497542,1
3.528514667,0
3.528548875,1
3.528557458,0
3.528574542,1
3.528583125,0
3.528591667,1
3.528600250,0
3.528634458,1
4.030213417,0
4.030239083,1
4.030247667,0
4.030256208,1
4.030264750,0
4.030273333,1
4.030281875,0
4.030290417,1
4.030299000,0
4.030307542,1
4.030316125,0
4.030324667,1
4.030333208,0
4.030341792,1
4.030367458,0
4.030376000,1
4.030384583,0
4.030401667,1
4.030410250,0
4.030427333,1
4.030453000,0
4.030461583,1
4.030470125,0
4.030478708,1
4.030495792,0
4.030504375,1
4.030512917,0
4.030521458,1
4.030538583,0
4.030547167,1
4.030555708,0
4.030564250,1
4.030572833,0
4.030589917,1
4.030598500,0
4.030607042,1
4.030624167,0
4.030632708,1
4.030641292,0
4.030649833,1
4.030666958,0
4.030684042,1
4.030709750,0
4.030718292,1
4.030726833,0
4.030761083,1
4.030769625,0
4.030778208,1
4.030795292,0
4.030803875,1
4.030812417,0
4.030863750,1
4.030872333,0
4.030889417,1
4.030898000,0
4.030906542,1
4.030915125,0
4.030949333,1
4.030966458,0
4.030975000,1
4.030983583,0
4.031000667,1
4.031009250,0
4.031026333,1
4.031052042,0
4.031060583,1
4.031069125,0
4.031086250,1
4.031094792,0
4.031111917,1
4.031137583,0
4.031146167,1
4.031154708,0
4.031163250,1
4.031171833,0
4.031180375,1
4.031188958,0
4.031197500,1
4.031223167,0
4.031231708,1
4.031240292,0
4.031248833,1
4.031265958,0
4.031283083,1
4.031308750,0
4.031317292,1
4.031325875,0
4.031368625,1
4.031394292,0
4.031402875,1
4.031411417,0
4.031420000,1
4.031428542,0
4.031437083,1
4.031445667,0
4.031454208,1
4.031479875,0
4.031488458,1
4.031497000,0
4.031505542,1
4.031522667,0
4.031548333,1
4.031565458,0
4.031574000,1
4.031582583,0
4.031616792,1
4.031625375,0
4.031633917,1
4.031651042,0
4.031659583,1
4.031668125,0
4.031676708,1
4.031685250,0
4.031693792,1
4.031702375,0
4.031710917,1
4.031736583,0
4.031745167,1
4.031753708,0
4.031762250,1
4.031779375,0
4.031805042,1
4.031822167,0
4.031830708,1
4.031839292,0
4.031873500,1
4.031882083,0
4.031890625,1
4.031907750,0
4.031916292,1
4.031924875,0
4.031933417,1
4.031941958,0
4.031950542,1
4.031959083,0
4.031967625,1
4.031993333,0
4.032001875,1
4.032010417,0
4.032019000,1
4.032027542,0
